currency,expiry_ts,inst_call,inst_put,iv_call25,iv_put25,rr25,underlying,updated_at
BTC,1755331200000,BTC-16AUG25-118000-C,BTC-16AUG25-116000-P,0.2874,0.3221,-0.03470000000000001,116994.97,2025-08-15T15:48:02.401229+00:00
BTC,1755417600000,BTC-17AUG25-118000-C,BTC-17AUG25-115000-P,0.23989999999999997,0.2953,-0.05540000000000003,116994.97,2025-08-15T15:48:15.222138+00:00
BTC,1755504000000,BTC-18AUG25-119000-C,BTC-18AUG25-115000-P,0.242,0.2766,-0.03460000000000002,116994.97,2025-08-15T15:48:25.877655+00:00
BTC,1755331200000,BTC-16AUG25-118000-C,BTC-16AUG25-116000-P,0.2879,0.32289999999999996,-0.034999999999999976,116996.69,2025-08-15T15:49:09.731926+00:00
BTC,1755417600000,BTC-17AUG25-118000-C,BTC-17AUG25-115000-P,0.24,0.2955,-0.055499999999999994,116996.69,2025-08-15T15:49:22.731068+00:00
BTC,1755504000000,BTC-18AUG25-119000-C,BTC-18AUG25-115000-P,0.24230000000000002,0.2766,-0.0343,116996.69,2025-08-15T15:49:33.472242+00:00
BTC,2025-12-26,0.0123,0.6,0.58,2025-08-15T00:00:00+00:00
BTC,1755417600000,BTC-17AUG25-118000-C,BTC-17AUG25-117000-P,0.1375,0.1555,-0.017999999999999988,117632.9,2025-08-16T09:49:49.395423+00:00
BTC,1755504000000,BTC-18AUG25-119000-C,BTC-18AUG25-116000-P,0.19390000000000002,0.2193,-0.025399999999999978,117632.9,2025-08-16T09:50:02.385511+00:00
BTC,1755590400000,BTC-19AUG25-119000-C,BTC-19AUG25-116000-P,0.2299,0.258,-0.028100000000000014,117632.9,2025-08-16T09:50:11.307411+00:00
BTC,1755417600000,BTC-17AUG25-118000-C,BTC-17AUG25-117000-P,0.138,0.15460000000000002,-0.016600000000000004,117575.91,2025-08-16T09:51:24.830865+00:00
BTC,1755504000000,BTC-18AUG25-119000-C,BTC-18AUG25-116000-P,0.1946,0.21899999999999997,-0.024399999999999977,117575.91,2025-08-16T09:51:35.371004+00:00
BTC,1755590400000,BTC-19AUG25-119000-C,BTC-19AUG25-116000-P,0.23010000000000003,0.2579,-0.02779999999999999,117575.91,2025-08-16T09:51:44.696534+00:00
BTC,1755417600000,BTC-17AUG25-118000-C,BTC-17AUG25-117000-P,0.1387,0.1535,-0.014800000000000008,117583.45,2025-08-16T09:53:00.833821+00:00
BTC,1755504000000,BTC-18AUG25-119000-C,BTC-18AUG25-116000-P,0.1954,0.2186,-0.0232,117583.45,2025-08-16T09:53:12.466914+00:00
BTC,1755590400000,BTC-19AUG25-119000-C,BTC-19AUG25-116000-P,0.2303,0.2579,-0.027600000000000013,117583.45,2025-08-16T09:53:22.381181+00:00
