setup_id,interval,direction,entry,stop,target,trigger_price,entry_shift,rr_planned,rr_realized,distortion
setup_001,5m,long,45000.0,44800.0,45360.0,45360.0,360.0,1.8,1.8,0.0
setup_002,5m,short,45200.0,45400.0,44800.0,44800.0,-400.0,1.8,2.0,0.11111111111111108
setup_003,5m,long,45100.0,44900.0,45400.0,44900.0,-200.0,1.8,1.5,0.16666666666666669
setup_004,15m,long,2800.0,2780.0,2828.0,2828.0,28.0,1.8,1.4,0.2222222222222223
setup_005,15m,short,2810.0,2830.0,2770.0,2830.0,20.0,1.8,2.0,0.11111111111111108
setup_006,5m,long,45300.0,45100.0,45600.0,45600.0,300.0,1.8,1.5,0.16666666666666669
setup_007,5m,short,45500.0,45700.0,45100.0,45100.0,-400.0,1.8,2.0,0.11111111111111108
setup_008,15m,long,2820.0,2800.0,2844.0,2800.0,-20.0,1.8,1.2,0.33333333333333337
setup_009,5m,long,45400.0,45200.0,45720.0,45720.0,320.0,1.8,1.6,0.11111111111111108
setup_010,15m,short,2830.0,2850.0,2790.0,2790.0,-40.0,1.8,2.0,0.11111111111111108
BTCUSDT-1h-20250816_202125,1h,short,117676.66607142855,118024.34035714284,117050.85235714288,117050.85235714288,-625.8137142856722,1.8,1.7999999999998995,5.5881225572799544e-14
BTCUSDT-1h-20250817_125206,1h,short,118234.42624071428,118451.60338357142,117843.50738357144,117843.50738357144,-390.91885714283853,1.8,1.7999999999999599,2.232781860635037e-14
BTCUSDT-1h-20250817_210614,1h,short,118331.17494803572,118578.05280517857,117886.79480517856,117886.79480517856,-444.38014285716054,1.8,1.8000000000001886,1.0473103865630643e-13
BTCUSDT-1h-20250817_221459,1h,short,118545.47990410714,118822.3934755357,118047.03547553573,118047.03547553573,-498.4444285714126,1.8,1.799999999999979,1.1719020815487764e-14
BTCUSDT-1h-20250817_221615,1h,short,118529.59982517858,118807.68911089288,118029.03911089286,118029.03911089286,-500.56071428571886,1.8,1.7999999999998952,5.82250297358971e-14
AUTO-BTCUSDT-5m-20250817_035014,5m,short,117799.71613714284,117841.40756571428,117724.67156571426,117724.67156571426,-75.04457142857427,1.8,1.7999999999993717,3.491034621876881e-13
AUTO-BTCUSDT-5m-20250817_122516,5m,short,118349.74851589285,118393.85494446428,118270.35694446428,118270.35694446428,-79.39157142856857,1.8,1.7999999999995382,2.5658487680225837e-13
AUTO-BTCUSDT-5m-20250817_122820,5m,short,118349.73851089284,118393.84493946428,118270.34693946427,118270.34693946427,-79.39157142856857,1.8,1.7999999999995382,2.5658487680225837e-13
ETHUSDT-1h-20250816_193311,1h,long,4383.686346071429,4339.244917500001,4463.680917500001,4339.244917500001,-44.44142857142833,1.8,1.8000000000000083,4.564250212347865e-15
ETHUSDT-15m-20250818_173859,15m,short,4288.221610714285,4315.618753571428,4238.906753571428,4315.618753571428,27.39714285714308,1.8,1.79999999999996,2.220446049250313e-14
AUTO-BTCUSDT-1h-20250818_033017,1h,short,115549.73049225,116029.64549224998,114685.88349225,116029.64549224998,479.91499999997905,1.8,1.800000000000097,5.390749575124371e-14
ETHUSDT-15m-20250818_142142,15m,short,4329.331441071427,4359.207155357142,4275.55515535714,4359.207155357142,29.87571428571482,1.8,1.8000000000000123,6.7846962615981784e-15
ETHUSDT-15m-20250819_023650,15m,short,4372.260752142857,4395.672180714286,4330.120180714286,4330.120180714286,-42.14057142857109,1.8,1.7999999999999845,8.635067969306772e-15
AUTO-ETHUSDT-1h-20250818_190018,1h,short,4383.507622767857,4438.575479910714,4284.385479910715,4284.385479910715,-99.12214285714253,1.8,1.7999999999999967,1.8503717077085944e-15
AUTO-BTCUSDT-1h-20250818_200018,1h,short,116498.46476517856,116992.68333660714,115608.87133660712,115608.87133660712,-889.5934285714466,1.8,1.8000000000000294,1.6283271027835628e-14
AUTO-BTCUSDT-1h-20250819_013248,1h,short,116260.05901473212,116894.49115758928,115118.08115758927,115118.08115758927,-1141.977857142847,1.8,1.799999999999945,3.0592812234115423e-14
BTCUSDT-1h-20250819_095010,1h,short,116279.34311625,116925.80811625,115115.70611625,115115.70611625,-1163.6370000000024,1.8,1.8000000000000136,7.524844944681616e-15
AUTO-BTCUSDT-1h-20250819_014523,1h,short,116239.57770776786,116880.44556491073,115086.01556491072,115086.01556491072,-1153.5621428571467,1.8,1.7999999999999954,2.5905203907920318e-15
ETHUSDT-1h-20250818_175031,1h,long,4283.520382678572,4224.46681125,4389.816811250001,4224.46681125,-59.05357142857156,1.8,1.8,0.0
AUTO-ETHUSDT-1h-20250819_014312,1h,short,4320.400549285714,4377.9262635714285,4216.854263571428,4216.854263571428,-103.54628571428566,1.8,1.7999999999999936,3.577385301569949e-15
test_fix_1755475580,5m,long,117132.84,114790.1832,121349.62224,114790.1832,-2342.656799999997,1.8,1.8000000000000025,1.3569392523196357e-15
ETHUSDT-1h-20250819_083045,1h,long,4260.574004464285,4208.164718749999,4354.91071875,4208.164718749999,-52.40928571428594,1.8,1.800000000000007,3.824101529264428e-15
AUTO-ETHUSDT-1h-20250819_054443,1h,short,4261.896133124999,4312.961133124999,4169.979133125,4312.961133124999,51.0649999999996,1.8,1.8000000000000036,1.973729821555834e-15
AUTO-ETHUSDT-1h-20250819_120309,1h,short,4319.129199642857,4361.652056785714,4242.588056785715,4242.588056785715,-76.5411428571424,1.8,1.7999999999999958,2.3438041630975527e-15
AUTO-ETHUSDT-1h-20250819_114332,1h,short,4312.662932410713,4358.253646696428,4230.599646696428,4230.599646696428,-82.06328571428548,1.8,1.799999999999968,1.7763568394002505e-14
BTCUSDT-1h-20250819_134520,1h,short,115476.50725607145,116110.62297035714,114335.09897035715,114335.09897035715,-1141.408285714293,1.8,1.8000000000000598,3.318333262490745e-14
AUTO-BTCUSDT-1h-20250819_090017,1h,short,115389.63687830356,115971.60044973213,114342.10244973212,114342.10244973212,-1047.5344285714382,1.8,1.800000000000025,1.3816108750890837e-14
AUTO-ETHUSDT-1h-20250819_020017,1h,short,4312.064061696428,4365.300490267857,4216.238490267857,4216.238490267857,-95.8255714285715,1.8,1.800000000000007,3.824101529264428e-15
AUTO-BTCUSDT-1h-20250819_150152,1h,short,114068.90005419642,114653.51648276784,113016.59048276785,113016.59048276785,-1052.3095714285737,1.8,1.800000000000035,1.9367223874016618e-14
AUTO-ETHUSDT-1h-20250819_160020,1h,short,4205.330900357142,4253.648043214285,4118.360043214285,4118.360043214285,-86.97085714285731,1.8,1.7999999999999925,4.194175870806147e-15
BTCUSDT-1h-20250820_095559,1h,short,113497.6840532143,114143.41119607144,112335.37519607144,,,0.6964361866315206,1.8,1.5845871230587953
BTCUSDT-1h-20250820_130703,1h,short,113874.7539225,114350.8839225,113017.71992249998,,,0.6431349168221155,1.8000000000000123,1.7987906626097145
TEST-NEW-1755666948,1h,short,113806.875,114306.875,112906.875,,,0.75,1.8,1.4000000000000001
TEST-10X-1755667234,1h,short,113806.875,114306.875,112906.875,,,0.75,1.8,1.4000000000000001
BTCUSDT-1h-20250820_131229,1h,short,113794.02822267856,114276.32750839285,112925.88950839284,,,0.6572580635547638,1.8000000000000422,1.7386503107543287
BTCUSDT-1h-20250820_133023,1h,short,114165.054,114665.054,113265.054,,,0.75,1.8,1.4000000000000001
BTCUSDT-1h-20250820_132624,1h,short,113858.20994035716,114342.60851178571,112986.29251178572,,,0.6063646525144577,1.8000000000000962,1.9685107674662456
DEBUG-1755667743,1h,short,114165.054,114665.054,113265.054,,,0.75,1.8,1.4000000000000001
BTCUSDT-1h-20250820_154813,1h,short,114165.054,114665.054,113265.054,,,0.75,1.8,1.4000000000000001
ETHUSDT-1h-20250820_153740,1h,short,4217.826788035714,4260.104645178571,4141.726645178572,,,0.6158289511998495,1.7999999999999956,1.9228895401766484
AUTO-BTCUSDT-1h-20250820_020023,1h,short,113232.58710669645,113856.62353526786,112109.32153526784,113856.62353526786,624.0364285714168,1.8,1.8000000000000933,5.1810407815840634e-14
BTCUSDT-1h-20250820_094924,1h,short,113253.4519982143,113899.17914107144,112091.14314107144,113899.17914107144,645.7271428571403,1.8,1.8,0.0
BTCUSDT-1h-20250820_165742,1h,short,114239.48333892858,114700.06762464286,113410.43162464286,,,0.6522596726814905,1.8,1.7596371129308963
BTCUSDT-1h-20250820_164535,1h,short,114251.65978125,114708.90478125,113428.61878125,,,0.6362103074789047,1.7999999999999554,1.829253124069574
BTCUSDT-1h-20250820_155504,1h,short,113829.50809660714,114287.75166803572,113004.66966803573,113004.66966803573,-824.8384285714128,1.8,1.7999999999999239,4.2311833049603185e-14
BTCUSDT-1h-20250820_160628,1h,short,113762.99235535711,114191.2709267857,112992.0909267857,112992.0909267857,-770.9014285714075,1.8,1.7999999999998912,6.044547578514741e-14
BTCUSDT-1h-20250820_100932,1h,short,113494.60572910712,114132.57930053573,112346.2533005357,114132.57930053573,637.9735714286071,1.8,1.7999999999998906,6.081555012668912e-14
AUTO-ETHUSDT-1h-20250821_130012,1h,short,4259.1347857142855,4301.726133571428,4186.729494357142,4301.726133571428,42.591347857142864,1.7000000000000064,1.7000000000000064,0.0
AUTO-ETHUSDT-1h-20250821_110014,1h,short,4305.768571428571,4348.826257142857,4228.264737142856,4228.264737142856,-77.50383428571513,1.8,1.8000000000000085,4.687608326195105e-15
AUTO-ETHUSDT-1h-20250821_170012,1h,short,4234.564428571428,4276.910072857142,4162.576833285714,4276.910072857142,42.345644285714116,1.6999999999999935,1.6999999999999935,0.0
AUTO-ETHUSDT-1h-20250822_000014,1h,short,4238.121214285715,4280.502426428572,4166.0731536428575,4280.502426428572,42.381212142857294,1.699999999999998,1.699999999999998,0.0
AUTO-ETHUSDT-1h-20250821_200013,1h,short,4239.255,4281.647550000001,4167.187665,4281.647550000001,42.39255000000048,1.6999999999999955,1.6999999999999742,1.2538989454590036e-14
AUTO-ETHUSDT-1h-20250821_180012,1h,short,4254.477071428571,4297.021842142857,4182.150961214285,4297.021842142857,42.54477071428573,1.7000000000000064,1.7000000000000064,0.0
AUTO-ETHUSDT-1h-20250821_160012,1h,short,4254.936785714285,4297.486153571428,4182.602860357142,4297.486153571428,42.5493678571429,1.7000000000000022,1.7000000000000022,0.0
AUTO-ETHUSDT-1h-20250821_230012,1h,short,4266.815571428571,4309.483727142857,4194.279706714286,4309.483727142857,42.668155714285604,1.7000000000000042,1.7000000000000042,0.0
AUTO-ETHUSDT-1h-20250822_020013,1h,short,4271.134357142857,4313.845700714285,4198.525073071429,4313.845700714285,42.71134357142819,1.7000000000000064,1.7000000000000064,0.0
ETHUSDT-4h-20250821_184414,4h,short,4406.9,4473.0,4124.05,,,0.81,4.279122541603599,4.282867335313085
AUTO-ETHUSDT-1h-20250822_030012,1h,short,4304.195214285714,4347.237166428572,4231.023895642857,,,0.671862575968432,1.7,1.5302793470072305
AUTO-ETHUSDT-1h-20250821_190013,1h,short,4273.959857142857,4316.699455714285,4201.3025395714285,4290.03,16.070142857142855,0.717058019303786,1.7000000000000042,1.3707983932047607
AUTO-ETHUSDT-1h-20250821_150011,1h,short,4286.323071428571,4329.186302142857,4213.455579214285,4287.94,1.6169285714286161,0.7191956982438428,1.699999999999998,1.3637516244203316
